topic_id;title;pid;video_id;youtube_url
181;[VÍDEO] BRUNO SHOW - DESTRUIÇÃO - CARREGADOR DE CARRO;181;p7khT1W5q-E;https://youtu.be/p7khT1W5q-E
182;[VÍDEO] BRUNO SHOW - DESTRUIÇÃO - CONTROLE REMOTO CARRO CONTROLE REMOTO;182;tptjKsh0VMA;https://youtu.be/tptjKsh0VMA
183;[VÍDEO] BRUNO SHOW - DESTRUIÇÃO - FANDANGOS DE PRESUNTO;183;7_6dSDjzGB0;https://youtu.be/7_6dSDjzGB0
184;[VÍDEO] BRUNO SHOW - DESTRUIÇÃO - RÁDIO PORTÁTIL;184;uANuoOiHbjs;https://youtu.be/uANuoOiHbjs
185;[VÍDEO] BRUNO SHOW - ESPECIAIS - A DANÇA DO BRUNO;185;QAmXTZAXKvo;https://youtu.be/QAmXTZAXKvo
185;[VÍDEO] BRUNO SHOW - ESPECIAIS - A DANÇA DO BRUNO;185;FIWXv6FZPMw;https://youtu.be/FIWXv6FZPMw
186;[VÍDEO] BRUNO SHOW - ESPECIAIS - A MINHA SALA;186;eqmGUDvx4yo;https://youtu.be/eqmGUDvx4yo
187;[VÍDEO] BRUNO SHOW - ESPECIAIS - ELEVADOR;187;ZZcsx7cyOGM;https://youtu.be/ZZcsx7cyOGM
188;[VÍDEO] BRUNO SHOW - ESPECIAIS - MEU PAI CORRENDO NA PRAIA COM A RANGER DELE;188;eSyL92uNvRw;https://youtu.be/eSyL92uNvRw
189;[VÍDEO] BRUNO SHOW - ESPECIAIS - OS ASSASSINOS DOS POMBOS;189;-YT53CzAG9I;https://youtu.be/-YT53CzAG9I
190;[VÍDEO] BRUNO SHOW - ESPECIAIS - CABELEIREIRO;190;JpGdemDPT0k;https://youtu.be/JpGdemDPT0k
191;[VÍDEO] BRUNO SHOW - MÚSICA - A DANÇA LOUCA 001;191;YYuieqaM1tM;https://youtu.be/YYuieqaM1tM
192;[VÍDEO] BRUNO SHOW - ESPECIAIS - TITANIC 2;192;3BV2LWM5VI8;https://youtu.be/3BV2LWM5VI8
193;[VÍDEO] BRUNO SHOW - GH - APAGUEI;193;WogieDhkPhE;https://youtu.be/WogieDhkPhE
194;[VÍDEO] BRUNO SHOW - TOP 10 - 18/07/2011;194;vS4T86-Zq2o;https://youtu.be/vS4T86-Zq2o
195;[VÍDEO] BRUNO SHOW - DESENHO - COBRA;195;GJtHG1ACu7I;https://youtu.be/GJtHG1ACu7I
196;[VÍDEO] BRUNO SHOW - ENGRAÇADO - MISTURA 002;196;uEekV6sp9pk;https://youtu.be/uEekV6sp9pk
197;[VÍDEO] BRUNO SHOW - MÚSICA - CONCURSO DE DANÇA;197;d05m4FnO9Ag;https://youtu.be/d05m4FnO9Ag
198;[VÍDEO] BRUNO SHOW - MÚSICA - DANÇA LOUCA 003;198;GlKWxBJOQBI;https://youtu.be/GlKWxBJOQBI
199;[VÍDEO] BRUNO SHOW - MÚSICA - DANÇAS LOUCAS;199;gs-EYWRFmgE;https://youtu.be/gs-EYWRFmgE
200;[VÍDEO] BRUNO SHOW - MÚSICA - NOVO CLIPE GALO FRITO LUAN BANANA;200;8mZ1m-TWxM4;https://youtu.be/8mZ1m-TWxM4
